tv_season,rank,title,network,rating
1968–1969,1,Rowan & Martin's Laugh-In,NBC,31.8
1968–1969,2,"Gomer Pyle, U.S.M.C.",CBS,27.2
1968–1969,3,Bonanza,NBC,26.6
1968–1969,4,Mayberry R.F.D.,CBS,25.4
1968–1969,5,Family Affair,CBS,25.2
1968–1969,6,Gunsmoke,CBS,24.9
1968–1969,7,Julia,NBC,24.6
1968–1969,8,The Dean Martin Show,NBC,24.1
1968–1969,9,Here's Lucy,CBS,23.8
1968–1969,10,The Beverly Hillbillies,CBS,23.5
1968–1969,11,Mission: Impossible,CBS,23.3
1968–1969,11,Bewitched,ABC,23.3
1968–1969,11,The Red Skelton Hour,CBS,23.3
1968–1969,14,My Three Sons,CBS,22.8
1968–1969,15,The Glen Campbell Goodtime Hour,CBS,22.5
1968–1969,16,Ironside,NBC,22.3
1968–1969,17,The Virginian,NBC,21.8
1968–1969,18,The F.B.I.,ABC,21.7
1968–1969,19,Green Acres,CBS,21.6
1968–1969,20,Dragnet,NBC,21.4
1968–1969,21,Daniel Boone,NBC,21.3
1968–1969,21,Walt Disney's Wonderful World of Color,NBC,21.3
1968–1969,23,The Ed Sullivan Show,CBS,21.2
1968–1969,24,The Carol Burnett Show,CBS,20.8
1968–1969,24,The Jackie Gleason Show,CBS,20.8
1968–1969,26,I Dream of Jeannie,NBC,20.7
1968–1969,27,The Smothers Brothers Comedy Hour,CBS,20.6
1968–1969,28,The Mod Squad,ABC,20.5
1968–1969,28,The Lawrence Welk Show,ABC,20.5
1968–1969,30,The Doris Day Show,CBS,20.4
1969–1970,1,Rowan & Martin's Laugh-In,NBC,26.3
1969–1970,2,Gunsmoke,CBS,25.9
1969–1970,3,Bonanza,NBC,24.8
1969–1970,4,Mayberry R.F.D.,CBS,24.4
1969–1970,5,Family Affair,CBS,24.2
1969–1970,6,Here's Lucy,CBS,23.9
1969–1970,7,The Red Skelton Hour,CBS,23.8
1969–1970,8,"Marcus Welby, M.D.",ABC,23.7
1969–1970,9,Walt Disney's Wonderful World of Color,NBC,23.6
1969–1970,10,The Doris Day Show,CBS,22.8
1969–1970,11,The Bill Cosby Show,NBC,22.7
1969–1970,12,The Jim Nabors Hour,CBS,22.4
1969–1970,13,The Carol Burnett Show,CBS,22.1
1969–1970,14,The Dean Martin Show,NBC,21.9
1969–1970,15,My Three Sons,CBS,21.8
1969–1970,15,Ironside,NBC,21.8
1969–1970,15,The Johnny Cash Show,ABC,21.8
1969–1970,18,The Beverly Hillbillies,CBS,21.7
1969–1970,19,Hawaii Five-O,CBS,21.1
1969–1970,20,The Glen Campbell Goodtime Hour,CBS,21.0
1969–1970,20,Hee Haw,CBS,21.0
1969–1970,22,Movie of the Week,ABC,20.9
1969–1970,23,The Mod Squad,ABC,20.8
1969–1970,24,Saturday Night Movie,NBC,20.6
1969–1970,24,Bewitched,ABC,20.6
1969–1970,24,The F.B.I.,ABC,20.6
1969–1970,27,The Ed Sullivan Show,CBS,20.3
1969–1970,28,Julia,NBC,20.1
1969–1970,29,CBS Thursday Movie,CBS,20.0
1969–1970,30,Mannix,CBS,19.9
1970–1971,1,"Marcus Welby, M.D.",ABC,29.6
1970–1971,2,The Flip Wilson Show,NBC,27.9
1970–1971,3,Here's Lucy,CBS,26.1
1970–1971,4,Ironside,NBC,25.7
1970–1971,5,Gunsmoke,CBS,25.5
1970–1971,6,ABC Movie of the Week,ABC,25.1
1970–1971,7,Hawaii Five-O,CBS,25.0
1970–1971,8,Medical Center,CBS,24.5
1970–1971,9,Bonanza,NBC,23.9
1970–1971,10,The F.B.I.,ABC,23.0
1970–1971,11,The Mod Squad,ABC,22.7
1970–1971,12,Adam-12,NBC,22.6
1970–1971,13,Rowan & Martin's Laugh-In,NBC,22.4
1970–1971,13,The Wonderful World of Disney,NBC,22.4
1970–1971,15,Mayberry R.F.D.,CBS,22.3
1970–1971,16,Hee Haw,CBS,21.4
1970–1971,17,Mannix,CBS,21.3
1970–1971,18,The Men from Shiloh,NBC,21.2
1970–1971,19,My Three Sons,CBS,20.8
1970–1971,20,The Doris Day Show,CBS,20.7
1970–1971,21,The Smith Family,ABC,20.6
1970–1971,22,The Mary Tyler Moore Show,CBS,20.3
1970–1971,23,NBC Saturday Movie,NBC,20.1
1970–1971,24,The Dean Martin Show,NBC,20.0
1970–1971,25,The Carol Burnett Show,CBS,19.8
1970–1971,25,The Partridge Family,ABC,19.8
1970–1971,25,NBC Monday Movie,NBC,19.8
1970–1971,28,ABC Sunday Movie,ABC,19.7
1970–1971,29,The Jim Nabors Hour,CBS,19.5
1970–1971,30,CBS Thursday Movie,CBS,19.3
1971–1972,1,All in the Family,CBS,34.0
1971–1972,2,The Flip Wilson Show,NBC,28.2
1971–1972,3,"Marcus Welby, M.D.",ABC,27.8
1971–1972,4,Gunsmoke,CBS,26.0
1971–1972,5,ABC Movie of the Week,ABC,25.6
1971–1972,6,Sanford and Son,NBC,25.2
1971–1972,7,Mannix,CBS,24.8
1971–1972,8,Funny Face,CBS,23.9
1971–1972,8,Adam-12,NBC,23.9
1971–1972,10,The Mary Tyler Moore Show,CBS,23.7
1971–1972,10,Here's Lucy,CBS,23.7
1971–1972,12,Hawaii Five-O,CBS,23.6
1971–1972,13,Medical Center,CBS,23.5
1971–1972,14,The NBC Mystery Movie,NBC,23.2
1971–1972,15,Ironside,NBC,23.0
1971–1972,16,The Partridge Family,ABC,22.6
1971–1972,17,The F.B.I.,ABC,22.4
1971–1972,18,The New Dick Van Dyke Show,CBS,22.2
1971–1972,19,The Wonderful World of Disney,NBC,22.0
1971–1972,20,Bonanza,NBC,21.9
1971–1972,21,The Mod Squad,ABC,21.5
1971–1972,22,Rowan & Martin's Laugh-In,NBC,21.4
1971–1972,23,The Carol Burnett Show,CBS,21.2
1971–1972,23,The Doris Day Show,CBS,21.2
1971–1972,25,Monday Night Football,ABC,20.9
1971–1972,26,ABC Sunday Movie,ABC,20.8
1971–1972,27,The Sonny & Cher Comedy Hour,CBS,20.2
1971–1972,28,Room 222,ABC,19.8
1971–1972,28,Cannon,CBS,19.8
1971–1972,30,CBS Friday Movie,CBS,19.5
1972–1973,1,All in the Family,CBS,33.3
1972–1973,2,Sanford and Son,NBC,27.6
1972–1973,3,Hawaii Five-O,CBS,25.2
1972–1973,4,Maude,CBS,24.7
1972–1973,5,Bridget Loves Bernie,CBS,24.2
1972–1973,5,The NBC Sunday Mystery Movie,NBC,24.2
1972–1973,7,The Mary Tyler Moore Show,CBS,23.6
1972–1973,7,Gunsmoke,CBS,23.6
1972–1973,9,The Wonderful World of Disney,NBC,23.5
1972–1973,10,Ironside,NBC,23.4
1972–1973,11,Adam-12,NBC,23.3
1972–1973,12,The Flip Wilson Show,NBC,23.1
1972–1973,13,"Marcus Welby, M.D.",ABC,22.9
1972–1973,14,Cannon,CBS,22.4
1972–1973,15,Here's Lucy,CBS,21.9
1972–1973,16,The Bob Newhart Show,CBS,21.8
1972–1973,17,Tuesday Movie of the Week,ABC,21.5
1972–1973,18,Monday Night Football,ABC,21.0
1972–1973,19,The Partridge Family,ABC,20.6
1972–1973,19,The Waltons,CBS,20.6
1972–1973,19,Medical Center,CBS,20.6
1972–1973,22,The Carol Burnett Show,CBS,20.3
1972–1973,23,ABC Sunday Movie,ABC,20.0
1972–1973,23,The Rookies,ABC,20.0
1972–1973,25,Barnaby Jones,CBS,19.9
1972–1973,25,The Little People,NBC,19.9
1972–1973,25,ABC Wednesday Movie of the Week,ABC,19.9
1972–1973,28,NBC Monday Movie,NBC,19.3
1972–1973,29,ABC Monday Movie,ABC,19.2
1972–1973,29,The F.B.I.,ABC,19.2
1972–1973,29,Kung Fu,ABC,19.2
1973–1974,1,All in the Family,CBS,31.2
1973–1974,2,The Waltons,CBS,28.1
1973–1974,3,Sanford and Son,NBC,27.5
1973–1974,4,M*A*S*H,CBS,25.7
1973–1974,5,Hawaii Five-O,CBS,24.0
1973–1974,6,Maude,CBS,23.5
1973–1974,7,Kojak,CBS,23.3
1973–1974,7,The Sonny & Cher Comedy Hour,CBS,23.3
1973–1974,9,The Mary Tyler Moore Show,CBS,23.1
1973–1974,9,Cannon,CBS,23.1
1973–1974,11,The Six Million Dollar Man,ABC,22.7
1973–1974,12,The Bob Newhart Show,CBS,22.3
1973–1974,12,The Wonderful World of Disney,NBC,22.3
1973–1974,14,The NBC Sunday Mystery Movie,NBC,22.2
1973–1974,15,Gunsmoke,CBS,22.1
1973–1974,16,Happy Days,ABC,21.5
1973–1974,17,Good Times,CBS,21.4
1973–1974,17,Barnaby Jones,CBS,21.4
1973–1974,19,Monday Night Football,ABC,21.2
1973–1974,19,CBS Friday Night Movie,CBS,21.2
1973–1974,21,Tuesday Movie of the Week,ABC,21.0
1973–1974,22,The Streets of San Francisco,ABC,20.8
1973–1974,23,Adam-12,NBC,20.7
1973–1974,23,ABC Sunday Night Movie,ABC,20.7
1973–1974,25,The Rookies,ABC,20.3
1973–1974,26,ABC Monday Movie,ABC,20.2
1973–1974,27,The Carol Burnett Show,CBS,20.1
1973–1974,27,Kung Fu,ABC,20.1
1973–1974,29,Here's Lucy,CBS,20.0
1973–1974,30,CBS Thursday Movie,CBS,19.9
1974–1975,1,All in the Family,CBS,30.2
1974–1975,2,Sanford and Son,NBC,29.6
1974–1975,3,Chico and the Man,NBC,28.5
1974–1975,4,The Jeffersons,CBS,27.6
1974–1975,5,M*A*S*H,CBS,27.4
1974–1975,6,Rhoda,CBS,26.3
1974–1975,7,Good Times,CBS,25.8
1974–1975,8,The Waltons,CBS,25.5
1974–1975,9,Maude,CBS,24.9
1974–1975,10,Hawaii Five-O,CBS,24.8
1974–1975,11,The Mary Tyler Moore Show,CBS,24.0
1974–1975,12,The Rockford Files,NBC,23.7
1974–1975,13,Little House on the Prairie,NBC,23.5
1974–1975,14,Kojak,CBS,23.3
1974–1975,15,Police Woman,NBC,22.8
1974–1975,16,S.W.A.T.,ABC,22.6
1974–1975,17,The Bob Newhart Show,CBS,22.4
1974–1975,18,The Wonderful World of Disney,NBC,22.0
1974–1975,18,The Rookies,ABC,22.0
1974–1975,20,Mannix,CBS,21.6
1974–1975,20,Cannon,CBS,21.6
1974–1975,22,Cher,CBS,21.3
1974–1975,22,The Streets of San Francisco,ABC,21.3
1974–1975,22,The NBC Sunday Mystery Movie,NBC,21.3
1974–1975,25,Paul Sand in Friends and Lovers,CBS,20.7
1974–1975,25,Tony Orlando & Dawn,CBS,20.7
1974–1975,27,Medical Center,CBS,20.6
1974–1975,28,Gunsmoke,CBS,20.5
1974–1975,29,The Carol Burnett Show,CBS,20.4
1974–1975,30,Emergency!,NBC,20.0
1975–1976,1,All in the Family,CBS,30.1
1975–1976,2,"Rich Man, Poor Man",ABC,28.0
1975–1976,3,Laverne & Shirley,ABC,27.5
1975–1976,4,Maude,CBS,25.0
1975–1976,5,The Bionic Woman,ABC,24.9
1975–1976,6,Phyllis,CBS,24.5
1975–1976,7,Sanford and Son,NBC,24.4
1975–1976,7,Rhoda,CBS,24.4
1975–1976,9,The Six Million Dollar Man,ABC,24.3
1975–1976,10,ABC Monday Night Movie,ABC,24.2
1975–1976,11,Happy Days,ABC,23.9
1975–1976,12,One Day at a Time,CBS,23.1
1975–1976,13,ABC Sunday Night Movie,ABC,23.0
1975–1976,14,The Waltons,CBS,22.9
1975–1976,14,M*A*S*H,CBS,22.9
1975–1976,16,Starsky & Hutch,ABC,22.5
1975–1976,16,Good Heavens,ABC,22.5
1975–1976,18,"Welcome Back, Kotter",ABC,22.1
1975–1976,19,The Mary Tyler Moore Show,CBS,21.9
1975–1976,20,Kojak,CBS,21.8
1975–1976,21,The Jeffersons,CBS,21.5
1975–1976,22,Baretta,ABC,21.3
1975–1976,23,The Sonny & Cher Show,CBS,21.2
1975–1976,24,Good Times,CBS,21.0
1975–1976,25,Chico and the Man,NBC,20.8
1975–1976,26,The Bob Newhart Show,CBS,20.7
1975–1976,26,Donny & Marie,ABC,20.7
1975–1976,26,The Streets of San Francisco,ABC,20.7
1975–1976,29,The Carol Burnett Show,CBS,20.5
1975–1976,30,Police Woman,NBC,20.2
1976–1977,1,Happy Days,ABC,31.5
1976–1977,2,Laverne & Shirley,ABC,30.9
1976–1977,3,ABC Monday Night Movie,ABC,26.0
1976–1977,4,M*A*S*H,CBS,25.9
1976–1977,5,Charlie's Angels,ABC,25.8
1976–1977,6,The Big Event,NBC,24.4
1976–1977,7,The Six Million Dollar Man,ABC,24.2
1976–1977,8,ABC Sunday Night Movie,ABC,23.4
1976–1977,8,Baretta,ABC,23.4
1976–1977,8,One Day at a Time,CBS,23.4
1976–1977,11,Three's Company,ABC,23.1
1976–1977,12,All in the Family,CBS,22.9
1976–1977,13,"Welcome Back, Kotter",ABC,22.7
1976–1977,14,The Bionic Woman,ABC,22.4
1976–1977,15,The Waltons,CBS,22.3
1976–1977,15,Little House on the Prairie,NBC,22.3
1976–1977,17,Barney Miller,ABC,22.2
1976–1977,18,60 Minutes,CBS,21.9
1976–1977,18,Hawaii Five-O,CBS,21.9
1976–1977,20,NBC Monday Night Movie,NBC,21.8
1976–1977,21,"Rich Man, Poor Man Book II",ABC,21.6
1976–1977,22,Monday Night Football,ABC,21.2
1976–1977,23,Eight Is Enough,ABC,21.1
1976–1977,24,The Jeffersons,CBS,21.0
1976–1977,25,What's Happening!!,ABC,20.9
1976–1977,26,Good Times,CBS,20.5
1976–1977,27,Sanford and Son,NBC,20.3
1976–1977,28,ABC Friday Night Movie,ABC,20.2
1976–1977,29,The Tony Randall Show,ABC,20.1
1976–1977,30,Alice,CBS,20.0
1977–1978,1,Laverne & Shirley,ABC,31.6
1977–1978,2,Happy Days,ABC,31.4
1977–1978,3,Three's Company,ABC,28.3
1977–1978,4,60 Minutes,CBS,24.4
1977–1978,4,Charlie's Angels,ABC,24.4
1977–1978,4,All in the Family,CBS,24.4
1977–1978,7,Little House on the Prairie,NBC,24.1
1977–1978,8,Alice,CBS,23.2
1977–1978,8,M*A*S*H,CBS,23.2
1977–1978,10,One Day at a Time,CBS,23.0
1977–1978,11,How the West Was Won,ABC,22.5
1977–1978,12,Eight Is Enough,ABC,22.2
1977–1978,13,Soap,ABC,22.0
1977–1978,14,The Love Boat,ABC,21.9
1977–1978,15,NBC Monday Night Movie,NBC,21.7
1977–1978,16,Monday Night Football,ABC,21.5
1977–1978,17,Fantasy Island,ABC,21.4
1977–1978,17,Barney Miller,ABC,21.4
1977–1978,19,Project U.F.O.,NBC,21.2
1977–1978,20,ABC Sunday Night Movie,ABC,20.8
1977–1978,20,The Waltons,CBS,20.8
1977–1978,22,Barnaby Jones,CBS,20.6
1977–1978,23,Hawaii Five-O,CBS,20.4
1977–1978,24,ABC Monday Night Movie,ABC,20.3
1977–1978,25,Rhoda,CBS,20.1
1977–1978,26,The Incredible Hulk,CBS,19.9
1977–1978,26,Family,ABC,19.9
1977–1978,26,"Welcome Back, Kotter",ABC,19.9
1977–1978,29,On Our Own,CBS,19.6
1977–1978,30,The Big Event — Sunday,NBC,19.4
1978–1979,1,Laverne & Shirley,ABC,30.5
1978–1979,2,Three's Company,ABC,30.3
1978–1979,3,Mork & Mindy,ABC,28.6
1978–1979,3,Happy Days,ABC,28.6
1978–1979,5,Angie,ABC,26.7
1978–1979,6,60 Minutes,CBS,25.5
1978–1979,7,M*A*S*H,CBS,25.4
1978–1979,8,The Ropers,ABC,25.2
1978–1979,9,All in the Family,CBS,24.9
1978–1979,9,Taxi,ABC,24.9
1978–1979,11,Eight Is Enough,ABC,24.8
1978–1979,12,Charlie's Angels,ABC,24.4
1978–1979,13,Alice,CBS,23.2
1978–1979,14,Little House on the Prairie,NBC,23.1
1978–1979,15,ABC Sunday Night Movie,ABC,22.6
1978–1979,15,Barney Miller,ABC,22.6
1978–1979,17,The Love Boat,ABC,22.1
1978–1979,18,One Day at a Time,CBS,21.6
1978–1979,19,Soap,ABC,21.3
1978–1979,20,The Dukes of Hazzard,CBS,21.0
1978–1979,21,NBC Monday Night Movie,NBC,20.9
1978–1979,22,Fantasy Island,ABC,20.8
1978–1979,23,Vega$,ABC,20.6
1978–1979,24,Barnaby Jones,CBS,20.5
1978–1979,25,CHiPs,NBC,20.3
1978–1979,26,Stockard Channing in Just Friends,CBS,20.2
1978–1979,27,Diff'rent Strokes,NBC,19.9
1978–1979,28,Monday Night Football,ABC,19.8
1978–1979,28,What's Happening!!,ABC,19.8
1978–1979,30,Lou Grant,CBS,19.7
1979–1980,1,60 Minutes,CBS,28.4
1979–1980,2,Three's Company,ABC,26.3
1979–1980,3,That's Incredible!,ABC,25.8
1979–1980,4,Alice,CBS,25.3
1979–1980,4,M*A*S*H,CBS,25.3
1979–1980,6,Dallas,CBS,25.0
1979–1980,7,Flo,CBS,24.4
1979–1980,8,The Jeffersons,CBS,24.3
1979–1980,9,The Dukes of Hazzard,CBS,24.1
1979–1980,10,One Day at a Time,CBS,23.0
1979–1980,11,Archie Bunker's Place,CBS,22.9
1979–1980,12,Eight Is Enough,ABC,22.8
1979–1980,13,Taxi,ABC,22.4
1979–1980,14,House Calls,CBS,22.1
1979–1980,14,Real People,NBC,22.1
1979–1980,16,Little House on the Prairie,NBC,21.8
1979–1980,17,Happy Days,ABC,21.7
1979–1980,18,CHiPs,NBC,21.5
1979–1980,19,"Trapper John, M.D.",CBS,21.2
1979–1980,20,Charlie's Angels,ABC,20.9
1979–1980,20,Barney Miller,ABC,20.9
1979–1980,22,WKRP in Cincinnati,CBS,20.7
1979–1980,23,Benson,ABC,20.6
1979–1980,23,The Love Boat,ABC,20.6
1979–1980,25,Soap,ABC,20.5
1979–1980,26,Diff'rent Strokes,NBC,20.3
1979–1980,27,Mork & Mindy,ABC,20.2
1979–1980,28,Fantasy Island,ABC,20.1
1979–1980,29,Tenspeed and Brown Shoe,ABC,20.0
1979–1980,29,ABC Sunday Night Movie,ABC,20.0
1979–1980,29,Vega$,ABC,20.0
1979–1980,29,Knots Landing,CBS,20.0
1980–1981,1,Dallas,CBS,34.5
1980–1981,2,The Dukes of Hazzard,CBS,27.3
1980–1981,3,60 Minutes,CBS,27.0
1980–1981,4,M*A*S*H,CBS,25.7
1980–1981,5,The Love Boat,ABC,24.3
1980–1981,6,The Jeffersons,CBS,23.5
1980–1981,7,Alice,CBS,22.9
1980–1981,8,House Calls,CBS,22.4
1980–1981,8,Three's Company,ABC,22.4
1980–1981,10,Little House on the Prairie,NBC,22.1
1980–1981,11,One Day at a Time,CBS,22.0
1980–1981,12,Real People,NBC,21.5
1980–1981,13,Archie Bunker's Place,CBS,21.4
1980–1981,14,"Magnum, P.I.",CBS,21.0
1980–1981,15,Happy Days,ABC,20.8
1980–1981,15,Too Close for Comfort,ABC,20.8
1980–1981,17,Fantasy Island,ABC,20.7
1980–1981,17,"Trapper John, M.D.",CBS,20.7
1980–1981,17,Diff'rent Strokes,NBC,20.7
1980–1981,20,Monday Night Football,ABC,20.6
1980–1981,20,Laverne & Shirley,ABC,20.6
1980–1981,22,That's Incredible!,ABC,20.5
1980–1981,23,Hart to Hart,ABC,19.9
1980–1981,24,ABC Sunday Night Movie,ABC,19.4
1980–1981,24,CHiPs,NBC,19.4
1980–1981,26,The Facts of Life,NBC,19.3
1980–1981,27,Lou Grant,CBS,19.1
1980–1981,28,Knots Landing,CBS,19.0
1980–1981,29,NBC Monday Night Movie,NBC,18.8
1980–1981,30,The Waltons,CBS,18.6
1981–1982,1,Dallas,CBS,28.4
1981–1982,2,60 Minutes,CBS,27.7
1981–1982,3,The Jeffersons,CBS,23.4
1981–1982,4,Three's Company,ABC,23.3
1981–1982,5,Alice,CBS,22.7
1981–1982,6,The Dukes of Hazzard,CBS,22.6
1981–1982,6,Too Close for Comfort,ABC,22.6
1981–1982,8,ABC Monday Night Movie,ABC,22.5
1981–1982,9,M*A*S*H,CBS,22.3
1981–1982,10,One Day at a Time,CBS,22.0
1981–1982,11,Monday Night Football,ABC,21.8
1981–1982,12,Archie Bunker's Place,CBS,21.6
1981–1982,13,Falcon Crest,CBS,21.4
1981–1982,14,The Love Boat,ABC,21.2
1981–1982,15,Hart to Hart,ABC,21.1
1981–1982,15,"Trapper John, M.D.",CBS,21.1
1981–1982,17,"Magnum, P.I.",CBS,20.9
1981–1982,18,Happy Days,ABC,20.6
1981–1982,19,Dynasty,ABC,20.2
1981–1982,20,Laverne & Shirley,ABC,19.9
1981–1982,21,Real People,NBC,19.7
1981–1982,22,ABC Sunday Night Movie,ABC,19.5
1981–1982,23,House Calls,CBS,19.2
1981–1982,24,The Facts of Life,NBC,19.1
1981–1982,24,Little House on the Prairie,NBC,19.1
1981–1982,26,The Fall Guy,ABC,19.0
1981–1982,27,Hill Street Blues,NBC,18.6
1981–1982,28,That's Incredible!,ABC,18.4
1981–1982,28,T.J. Hooker,ABC,18.4
1981–1982,30,Fantasy Island,ABC,18.3
1982–1983,1,60 Minutes,CBS,25.5
1982–1983,2,Dallas,CBS,24.6
1982–1983,3,M*A*S*H,CBS,22.6
1982–1983,3,"Magnum, P.I.",CBS,22.6
1982–1983,5,Dynasty,ABC,22.4
1982–1983,6,Three's Company,ABC,21.2
1982–1983,7,Simon & Simon,CBS,21.0
1982–1983,8,Falcon Crest,CBS,20.7
1982–1983,9,The Love Boat,ABC,20.3
1982–1983,10,The A-Team,NBC,20.1
1982–1983,10,Monday Night Football,ABC,20.1
1982–1983,12,The Jeffersons,CBS,20.0
1982–1983,12,Newhart,CBS,20.0
1982–1983,14,The Fall Guy,ABC,19.4
1982–1983,15,9 to 5,ABC,19.3
1982–1983,16,One Day at a Time,CBS,19.1
1982–1983,17,Hart to Hart,ABC,18.9
1982–1983,18,Gloria,CBS,18.7
1982–1983,18,"Trapper John, M.D.",CBS,18.7
1982–1983,20,Knots Landing,CBS,18.6
1982–1983,21,Hill Street Blues,NBC,18.4
1982–1983,22,That's Incredible!,ABC,18.3
1982–1983,22,Archie Bunker's Place,CBS,18.3
1982–1983,24,ABC Monday Night Movie,ABC,18.0
1982–1983,25,Laverne & Shirley,ABC,17.8
1982–1983,26,ABC Sunday Night Movie,ABC,17.6
1982–1983,27,CBS Tuesday Night Movie,CBS,17.5
1982–1983,28,Happy Days,ABC,17.4
1982–1983,28,Little House: A New Beginning,NBC,17.4
1982–1983,30,Real People,NBC,17.2
1982–1983,30,The Dukes of Hazzard,CBS,17.2
1983–1984,1,Dallas,CBS,25.7
1983–1984,2,60 Minutes,CBS,24.2
1983–1984,3,Dynasty,ABC,24.1
1983–1984,4,The A-Team,NBC,24.0
1983–1984,5,Simon & Simon,CBS,23.8
1983–1984,6,"Magnum, P.I.",CBS,22.4
1983–1984,7,Falcon Crest,CBS,22.0
1983–1984,8,Kate & Allie,CBS,21.9
1983–1984,9,Hotel,ABC,21.1
1983–1984,10,Cagney & Lacey,CBS,20.9
1983–1984,11,Knots Landing,CBS,20.8
1983–1984,12,ABC Sunday Night Movie,ABC,20.4
1983–1984,12,ABC Monday Night Movie,ABC,20.4
1983–1984,14,TV's Bloopers & Practical Jokes,NBC,20.3
1983–1984,15,AfterMASH,CBS,20.1
1983–1984,16,The Fall Guy,ABC,19.9
1983–1984,17,The Love Boat,ABC,19.0
1983–1984,18,Riptide,NBC,18.8
1983–1984,19,The Jeffersons,CBS,18.6
1983–1984,20,Scarecrow & Mrs. King,CBS,18.3
1983–1984,21,Monday Night Football,ABC,18.1
1983–1984,21,NBC Monday Night Movie,NBC,18.1
1983–1984,23,Newhart,CBS,18.0
1983–1984,24,The Facts of Life,NBC,17.3
1983–1984,25,CBS Tuesday Night Movie,CBS,17.2
1983–1984,25,Webster,ABC,17.2
1983–1984,25,Alice,CBS,17.2
1983–1984,25,Knight Rider,NBC,17.2
1983–1984,25,Hardcastle and McCormick,ABC,17.2
1983–1984,30,"Trapper John, M.D.",CBS,17.0
1984–1985,1,Dynasty,ABC,25.0
1984–1985,2,Dallas,CBS,24.7
1984–1985,3,The Cosby Show,NBC,24.2
1984–1985,4,60 Minutes,CBS,22.2
1984–1985,5,Family Ties,NBC,22.1
1984–1985,6,The A-Team,NBC,21.9
1984–1985,7,Simon & Simon,CBS,21.8
1984–1985,8,"Murder, She Wrote",CBS,20.1
1984–1985,9,Knots Landing,CBS,20.0
1984–1985,10,Falcon Crest,CBS,19.9
1984–1985,10,Crazy Like a Fox,CBS,19.9
1984–1985,12,Hotel,ABC,19.7
1984–1985,12,Cheers,NBC,19.7
1984–1985,14,Riptide,NBC,19.2
1984–1985,15,"Magnum, P.I.",CBS,19.1
1984–1985,16,Newhart,CBS,18.4
1984–1985,17,Kate & Allie,CBS,18.3
1984–1985,18,NBC Monday Night Movie,NBC,18.2
1984–1985,19,Highway to Heaven,NBC,17.7
1984–1985,20,Night Court,NBC,17.6
1984–1985,21,ABC Sunday Night Movie,ABC,17.5
1984–1985,22,Scarecrow & Mrs. King,CBS,17.1
1984–1985,22,TV's Bloopers & Practical Jokes,NBC,17.1
1984–1985,22,The Fall Guy,ABC,17.1
1984–1985,25,Monday Night Football,ABC,17.0
1984–1985,25,Remington Steele,NBC,17.0
1984–1985,25,Webster,ABC,17.0
1984–1985,28,Cagney & Lacey,CBS,16.9
1984–1985,29,"Trapper John, M.D.",CBS,16.8
1984–1985,30,Hill Street Blues,NBC,16.6
1985–1986,1,The Cosby Show,NBC,33.7
1985–1986,2,Family Ties,NBC,30.0
1985–1986,3,"Murder, She Wrote",CBS,25.3
1985–1986,4,60 Minutes,CBS,23.9
1985–1986,5,Cheers,NBC,23.7
1985–1986,6,Dallas,CBS,21.9
1985–1986,7,Dynasty,ABC,21.8
1985–1986,7,The Golden Girls,NBC,21.8
1985–1986,9,Miami Vice,NBC,21.3
1985–1986,10,Who's the Boss?,ABC,21.1
1985–1986,11,Night Court,NBC,20.9
1985–1986,12,CBS Sunday Night Movie,CBS,20.5
1985–1986,13,Highway to Heaven,NBC,20.1
1985–1986,14,Kate & Allie,CBS,20.0
1985–1986,15,Monday Night Football,ABC,19.8
1985–1986,16,Newhart,CBS,19.6
1985–1986,17,Knots Landing,CBS,19.5
1985–1986,17,Growing Pains,ABC,19.5
1985–1986,19,You Again?,NBC,19.2
1985–1986,20,227,NBC,18.8
1985–1986,21,NBC Sunday Night Movie,NBC,18.5
1985–1986,22,Hotel,ABC,18.3
1985–1986,22,NBC Monday Night Movie,NBC,18.3
1985–1986,24,Moonlighting,ABC,18.1
1985–1986,24,Falcon Crest,CBS,18.1
1985–1986,24,Valerie,NBC,18.1
1985–1986,27,The Facts of Life,NBC,17.7
1985–1986,28,Scarecrow & Mrs. King,CBS,17.4
1985–1986,29,Simon & Simon,CBS,17.2
1985–1986,30,The A-Team,NBC,16.9
1986–1987,1,The Cosby Show,NBC,34.9
1986–1987,2,Family Ties,NBC,32.7
1986–1987,3,Cheers,NBC,27.2
1986–1987,4,"Murder, She Wrote",CBS,25.4
1986–1987,5,The Golden Girls,NBC,24.5
1986–1987,6,60 Minutes,CBS,23.3
1986–1987,7,Night Court,NBC,23.2
1986–1987,8,Growing Pains,ABC,22.7
1986–1987,9,Moonlighting,ABC,22.4
1986–1987,10,Who's the Boss?,ABC,22.0
1986–1987,11,Dallas,CBS,21.3
1986–1987,12,Newhart,CBS,19.5
1986–1987,13,Amen,NBC,19.4
1986–1987,14,227,NBC,18.9
1986–1987,15,Matlock,NBC,18.6
1986–1987,15,CBS Sunday Night Movie,CBS,18.6
1986–1987,15,NBC Monday Night Movie,NBC,18.6
1986–1987,18,Monday Night Football,ABC,18.4
1986–1987,19,Kate & Allie,CBS,18.3
1986–1987,20,NBC Sunday Night Movie,NBC,18.2
1986–1987,21,L.A. Law,NBC,17.4
1986–1987,21,My Sister Sam,CBS,17.4
1986–1987,23,Falcon Crest,CBS,17.3
1986–1987,24,Highway to Heaven,NBC,17.2
